nohup: ignoring input
/home/tanguy/5A/MLChallenge/venvMLChallenge/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:60: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
cuda
Mean: tensor([0.5652, 0.4507, 0.4434])
Std: tensor([0.2005, 0.1882, 0.1902])
Epoch [1/600], Training Loss: 2.0971, Training Accuracy: 16.98%, Validation Accuracy: 13.01%
Epoch [2/600], Training Loss: 1.9405, Training Accuracy: 18.16%, Validation Accuracy: 22.60%
Epoch [3/600], Training Loss: 1.7671, Training Accuracy: 28.99%, Validation Accuracy: 35.62%
Epoch [4/600], Training Loss: 1.3952, Training Accuracy: 43.78%, Validation Accuracy: 52.05%
Epoch [5/600], Training Loss: 1.2538, Training Accuracy: 50.66%, Validation Accuracy: 60.96%
Epoch [6/600], Training Loss: 1.1502, Training Accuracy: 54.47%, Validation Accuracy: 59.59%
Epoch [7/600], Training Loss: 0.9952, Training Accuracy: 62.66%, Validation Accuracy: 66.44%
Epoch [8/600], Training Loss: 0.9209, Training Accuracy: 63.25%, Validation Accuracy: 68.49%
Epoch [9/600], Training Loss: 0.8933, Training Accuracy: 66.33%, Validation Accuracy: 71.92%
Epoch [10/600], Training Loss: 0.8299, Training Accuracy: 67.06%, Validation Accuracy: 73.29%
Epoch [11/600], Training Loss: 0.8066, Training Accuracy: 69.69%, Validation Accuracy: 71.23%
Epoch [12/600], Training Loss: 0.7597, Training Accuracy: 69.55%, Validation Accuracy: 71.92%
Epoch [13/600], Training Loss: 0.7743, Training Accuracy: 69.40%, Validation Accuracy: 71.23%
Epoch [14/600], Training Loss: 0.7210, Training Accuracy: 73.21%, Validation Accuracy: 73.29%
Epoch [15/600], Training Loss: 0.7105, Training Accuracy: 74.82%, Validation Accuracy: 72.60%
Epoch [16/600], Training Loss: 0.6487, Training Accuracy: 76.13%, Validation Accuracy: 72.60%
Epoch [17/600], Training Loss: 0.6301, Training Accuracy: 75.11%, Validation Accuracy: 73.97%
Epoch [18/600], Training Loss: 0.6038, Training Accuracy: 77.16%, Validation Accuracy: 74.66%
Epoch [19/600], Training Loss: 0.5939, Training Accuracy: 77.01%, Validation Accuracy: 76.03%
Epoch [20/600], Training Loss: 0.5737, Training Accuracy: 78.18%, Validation Accuracy: 78.08%
Epoch [21/600], Training Loss: 0.5559, Training Accuracy: 79.21%, Validation Accuracy: 75.34%
Epoch [22/600], Training Loss: 0.5256, Training Accuracy: 81.11%, Validation Accuracy: 70.55%
Epoch [23/600], Training Loss: 0.5169, Training Accuracy: 79.94%, Validation Accuracy: 76.03%
Epoch [24/600], Training Loss: 0.4830, Training Accuracy: 81.84%, Validation Accuracy: 73.29%
Epoch [25/600], Training Loss: 0.4870, Training Accuracy: 81.55%, Validation Accuracy: 78.08%
Epoch [26/600], Training Loss: 0.5068, Training Accuracy: 81.11%, Validation Accuracy: 72.60%
Epoch [27/600], Training Loss: 0.5022, Training Accuracy: 81.55%, Validation Accuracy: 71.92%
Epoch [28/600], Training Loss: 0.4411, Training Accuracy: 83.75%, Validation Accuracy: 73.97%
Epoch [29/600], Training Loss: 0.4266, Training Accuracy: 83.60%, Validation Accuracy: 70.55%
Epoch [30/600], Training Loss: 0.4225, Training Accuracy: 83.02%, Validation Accuracy: 73.97%
Epoch [31/600], Training Loss: 0.4082, Training Accuracy: 86.09%, Validation Accuracy: 71.92%
Epoch [32/600], Training Loss: 0.3833, Training Accuracy: 85.94%, Validation Accuracy: 74.66%
Epoch [33/600], Training Loss: 0.3535, Training Accuracy: 87.85%, Validation Accuracy: 77.40%
