nohup: ignoring input
/home/tanguy/5A/MLChallenge/venvMLChallenge/lib/python3.11/site-packages/torch/optim/lr_scheduler.py:60: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
cuda
Mean: tensor([0.5652, 0.4507, 0.4434])
Std: tensor([0.2005, 0.1882, 0.1902])
Epoch [1/800], Training Loss: 2.1147, Training Accuracy: 13.18%, Validation Accuracy: 26.03%
Epoch [2/800], Training Loss: 1.9635, Training Accuracy: 15.96%, Validation Accuracy: 22.60%
Epoch [3/800], Training Loss: 1.9458, Training Accuracy: 15.96%, Validation Accuracy: 20.55%
Epoch [4/800], Training Loss: 1.9435, Training Accuracy: 16.84%, Validation Accuracy: 18.49%
Epoch [5/800], Training Loss: 1.9399, Training Accuracy: 17.13%, Validation Accuracy: 28.08%
Epoch [6/800], Training Loss: 1.9403, Training Accuracy: 14.06%, Validation Accuracy: 21.92%
Epoch [7/800], Training Loss: 1.9352, Training Accuracy: 18.01%, Validation Accuracy: 20.55%
Epoch [8/800], Training Loss: 1.9319, Training Accuracy: 19.03%, Validation Accuracy: 23.97%
Epoch [9/800], Training Loss: 1.9320, Training Accuracy: 20.94%, Validation Accuracy: 30.82%
Epoch [10/800], Training Loss: 1.9100, Training Accuracy: 23.28%, Validation Accuracy: 27.40%
Epoch [11/800], Training Loss: 1.8898, Training Accuracy: 20.79%, Validation Accuracy: 28.77%
Epoch [12/800], Training Loss: 1.8770, Training Accuracy: 20.64%, Validation Accuracy: 33.56%
Epoch [13/800], Training Loss: 1.8307, Training Accuracy: 24.74%, Validation Accuracy: 34.25%
Epoch [14/800], Training Loss: 1.7629, Training Accuracy: 29.87%, Validation Accuracy: 41.10%
Epoch [15/800], Training Loss: 1.7035, Training Accuracy: 29.43%, Validation Accuracy: 43.84%
Epoch [16/800], Training Loss: 1.6442, Training Accuracy: 31.48%, Validation Accuracy: 48.63%
Epoch [17/800], Training Loss: 1.6025, Training Accuracy: 33.67%, Validation Accuracy: 52.74%
Epoch [18/800], Training Loss: 1.5724, Training Accuracy: 33.67%, Validation Accuracy: 56.85%
